# Time-averaged data for fix track_rdf
# TimeStep Number-of-rows
# Row c_rdf_calc[1] c_rdf_calc[2] c_rdf_calc[3]
2500 100
27 3.26194 6.53712 3.75
28 3.38503 6.15027 4.52
29 3.50812 6.43277 5.385
30 3.63121 5.65703 6.2
31 3.75431 6.42855 7.19
32 3.8774 6.84875 8.315
33 4.00049 6.60537 9.47
34 4.12358 5.86707 10.56
35 4.24667 6.44542 11.83
36 4.36977 6.08744 13.1
37 4.49286 5.28238 14.265
38 4.61595 5.64877 15.58
39 4.73904 6.54102 17.185
40 4.86213 6.65928 18.905
41 4.98523 7.32888 20.895
42 5.10832 7.40085 23.005
43 5.23141 7.2908 25.185
44 5.3545 6.91157 27.35
45 5.47759 7.45859 29.795
46 5.60069 7.26567 32.285
47 5.72378 7.24989 34.88
48 5.84687 7.84478 37.81
49 5.96996 7.28066 40.645
50 6.09305 7.44557 43.665
51 6.21615 7.08257 46.655
52 6.33924 7.01518 49.735
53 6.46233 8.37236 53.555
54 6.58542 7.60854 57.16
55 6.70851 7.11835 60.66
56 6.83161 6.91318 64.185
57 6.9547 7.43705 68.115
58 7.07779 6.76952 71.82
59 7.20088 7.66097 76.16
60 7.32397 7.7725 80.715
61 7.44707 7.08858 85.01
62 7.57016 7.05159 89.425
63 7.69325 7.39995 94.21
64 7.81634 7.6781 99.335
65 7.93943 8.00818 104.85
66 8.06253 8.23019 110.695
67 8.18562 8.01868 116.565
68 8.30871 8.27343 122.805
69 8.4318 8.27825 129.235
70 8.55489 8.41694 135.965
71 8.67799 7.98539 142.535
72 8.80108 8.20672 149.48
73 8.92417 8.22324 156.635
74 9.04726 7.92832 163.725
75 9.17035 8.13596 171.2
76 9.29345 8.04904 178.795
77 9.41654 7.60256 186.16
78 9.53963 7.2618 193.38
79 9.66272 7.99947 201.54
80 9.78581 7.83295 209.735
81 9.90891 7.79803 218.1
82 10.032 7.62149 226.48
83 10.1551 7.79288 235.26
84 10.2782 7.05282 243.4
85 10.4013 7.53411 252.305
86 10.5244 7.92084 261.89
87 10.6475 8.03346 271.84
88 10.7706 8.08365 282.085
89 10.8936 7.95599 292.4
90 11.0167 7.89987 302.875
91 11.1398 8.01391 313.74
