# Time-averaged data for fix track_rdf
# TimeStep Number-of-rows
# Row c_rdf_calc[1] c_rdf_calc[2] c_rdf_calc[3] c_rdf_calc[4] c_rdf_calc[5]
2500 100
4 0.430822 0 0 0 0
5 0.553914 0 0 0 0
6 0.677006 0 0 0 0
7 0.800098 0 0 0 0
8 0.92319 0 0 0 0
9 1.04628 0 0 0 0
10 1.16937 0 0 0 0
11 1.29247 0 0 0 0
12 1.41556 0 0 0 0
13 1.53865 0 0 0 0
14 1.66174 0 0 0 0
15 1.78483 0 0 0 0
16 1.90793 0 0 0 0
17 2.03102 0 0 0 0
18 2.15411 0 0 0 0
19 2.2772 0 0 0 0
20 2.40029 0 0 0 0
21 2.52339 1.03872 0.1 1.03872 0.1
22 2.64648 0.944363 0.2 0.944363 0.2
23 2.76957 0.862299 0.3 3.44919 0.6
24 2.89266 7.11435 1.2 3.95242 1.1
25 3.01575 13.091 3 2.18184 1.4
26 3.13885 8.05637 4.2 2.01409 1.7
27 3.26194 6.83823 5.3 4.3516 2.4
28 3.38503 4.04091 6 3.46364 3
29 3.50812 6.44972 7.2 3.22486 3.6
30 3.63121 2.50829 7.7 4.51493 4.5
31 3.75431 2.34653 8.2 3.75444 5.3
32 3.8774 0.879968 8.4 3.07989 6
33 4.00049 5.37324 9.7 2.89329 6.7
34 4.12358 5.83531 11.2 3.8902 7.7
35 4.24667 8.43633 13.5 4.76836 9
36 4.36977 6.58207 15.4 4.84995 10.4
37 4.49286 3.60474 16.5 3.93244 11.6
38 4.61595 4.34644 17.9 5.89874 13.5
39 4.73904 5.89086 19.9 5.00723 15.2
40 4.86213 5.31656 21.8 5.03674 17
41 4.98523 7.45281 24.6 7.18664 19.7
42 5.10832 4.30949 26.3 6.84448 22.4
43 5.23141 5.31764 28.5 8.45988 25.9
44 5.3545 5.07597 30.7 4.15307 27.7
45 5.47759 6.6142 33.7 5.07088 30
46 5.60069 6.74845 36.9 8.01378 33.8
47 5.72378 5.45174 39.6 6.05749 36.8
48 5.84687 6.57915 43 9.09471 41.5
49 5.96996 7.6099 47.1 10.2084 47
50 6.09305 6.23644 50.6 7.48373 51.2
51 6.21615 7.70388 55.1 6.6767 55.1
52 6.33924 7.57223 59.7 7.07839 59.4
53 6.46233 7.28652 64.3 5.22729 62.7
54 6.58542 7.62683 69.3 4.88117 65.9
55 6.70851 4.40971 72.3 4.70369 69.1
56 6.83161 4.1105 75.2 6.23662 73.5
57 6.9547 4.7869 78.7 6.15458 78
58 7.07779 5.81032 83.1 7.92317 84
59 7.20088 5.23065 87.2 7.65461 90
60 7.32397 2.95979 89.6 5.91959 94.8
61 7.44707 5.72552 94.4 4.77127 98.8
62 7.57016 5.19454 98.9 4.96367 103.1
63 7.69325 8.38274 106.4 7.0415 109.4
64 7.81634 5.52215 111.5 5.84698 114.8
65 7.93943 7.66106 118.8 7.76601 122.2
66 8.06253 6.81833 125.5 6.81833 128.9
67 8.18562 5.62753 131.2 8.88557 137.9
68 8.30871 5.94115 137.4 7.85765 146.1
69 8.4318 8.46734 146.5 8.18819 154.9
70 8.55489 7.5927 154.9 6.23686 161.8
71 8.67799 6.14903 161.9 6.85178 169.6
72 8.80108 5.1242 167.9 6.57606 177.3
73 8.92417 8.38943 178 4.73463 183
74 9.04726 6.62715 186.2 4.92995 189.1
75 9.17035 7.94505 196.3 4.48384 194.8
76 9.29345 8.27214 207.1 6.89345 203.8
77 9.41654 8.2065 218.1 6.86362 213
78 9.53963 7.19648 228 5.59726 220.7
79 9.66272 7.156 238.1 6.44749 229.8
80 9.78581 7.04619 248.3 7.18435 240.2
81 9.90891 7.07434 258.8 5.65948 248.6
82 10.032 6.96754 269.4 5.58718 257.1
83 10.1551 6.9921 280.3 6.73551 267.6
84 10.2782 7.26397 291.9 7.70231 279.9
85 10.4013 5.99241 301.7 7.09306 291.5
86 10.5244 5.73361 311.3 8.12262 305.1
87 10.6475 5.07664 320 6.88556 316.9
88 10.7706 5.01829 328.8 7.35636 329.8
89 10.8936 6.68936 340.8 7.91574 344
90 11.0167 6.86775 353.4 7.3583 357.5
91 11.1398 6.39696 365.4 7.24989 371.1
92 11.2629 6.72725 378.3 5.99716 382.6
93 11.386 7.14389 392.3 6.83772 396
94 11.5091 5.64346 403.6 8.83975 413.7
95 11.6322 5.57354 415 7.87141 429.8
96 11.7553 7.7553 431.2 8.56913 447.7
97 11.8784 6.51704 445.1 7.54852 463.8
98 12.0015 8.77232 464.2 5.87883 476.6
99 12.1246 6.21008 478 5.26507 488.3
100 12.2477 7.84991 495.8 5.29207 500.3
4000 100
1 0.061546 0 0 0 0
2 0.184638 0 0 0 0
3 0.30773 0 0 0 0
4 0.430822 0 0 0 0
5 0.553914 0 0 0 0
6 0.677006 0 0 0 0
7 0.800098 0 0 0 0
8 0.92319 0 0 0 0
9 1.04628 0 0 0 0
10 1.16937 0 0 0 0
11 1.29247 0 0 0 0
12 1.41556 0 0 0 0
13 1.53865 0 0 0 0
14 1.66174 0 0 0 0
15 1.78483 0 0 0 0
16 1.90793 0 0 0 0
17 2.03102 0 0 0 0
18 2.15411 0 0 0 0
19 2.2772 1.2754 0.1 0 0
20 2.40029 1.14797 0.2 0 0
21 2.52339 3.11617 0.5 0 0
22 2.64648 4.72182 1 0 0
23 2.76957 1.7246 1.2 0 0
24 2.89266 3.16194 1.6 3.16194 0.4
25 3.01575 4.36368 2.2 4.36368 1
26 3.13885 10.0705 3.7 4.69955 1.7
27 3.26194 9.32486 5.2 3.10829 2.2
28 3.38503 9.23636 6.8 2.88636 2.7
